#range che varia da 3400 a 7800, bin fissati a 1024, funzione per il fondo pol2
#media picco 1	#err picco 1	#sigma picco 1	#err sigma picco 1	#media picco 2	#err media picco 2	#sigma picco 2	#err sigma picco 2
5919.17	0.72	129.57	0.81	6690.58	0.72	136.68	0.67
5918.32	0.71	133.14	0.72	6688.79	0.70	137.43	0.61
5924.29	0.77	132.62	0.89	6688.95	0.69	146.61	1.05
5920.17	0.71	125.79	0.64	6690.97	0.70	133.55	0.60
#range fissato da 5000 a 7500, bin fissati a 1024, funzione prima gaussbkg, poi expo, poi pol2, poi retta
5919.17	0.72	129.57	0.81	6690.58	0.72	136.68	0.67
5917.74	0.72	137.32	0.70	6687.47	0.69	140.08	0.63
5918.76	0.71	133.66	0.70	6689.11	0.70	139.41	0.62
5917.25	0.72	126.37	0.66	6691.63	0.71	130.35	0.59
#range fissato da 5000 a 7500, funzione fissata pol2, binning prima 1024, poi 512, poi 341, poi 2048
5918.76	0.71	133.65	0.70	6689.11	0.70	139.41	0.62
5918.73	0.71	133.62	0.70	6689.12	0.70	139.37	0.62
5918.72	0.71	133.67	0.70	6689.2	0.70	139.31	0.62
5918.75	0.71	133.64	0.70	6689.13	0.70	139.39	0.62    

 
