#bin fissati a 1024, funzione per il fondo pol2, range [4000-6400], [4616-6850], [3808, 7744]
#media picco 1		#err picco 1		#sigma picco 1		#err sigma picco 1		#media picco 2		#err media picco 2		#sigma picco 2		#err sigma picco 2
5200.14			2.68			213.23			2.76				5824.04			2.65				195.61			2.41
5205.27			2.65			222.93			3.08				5826.13			2.65				189.56			1.81
5206.44			2.71			236.27			2.91				5831.95			2.65				182.52			1.79
#funzione per il fondo pol2, range [4000-6400], bin 512, 341, 2048
5200.07			2.68			213.05			2.77				5823.91			2.65				195.59			2.41 
5200.1			2.68			213.38			2.78				5823.91			2.66				195.29			2.38
5200.09			2.68			213.32			2.76				5823.99			2.65				195.68			2.41 
#range [4000-6400], bin 1024, bkg function gauss, expo, retta
5201.77			2.77			222.16			3.20				5824.67			2.84				204.63			2.81
5206.61			2.83			268.91			3.69				5842.82			2.73				176.52			1.77	
5198.97			2.69			204.51			2.63				5822.07			2.64				198.75			2.68 		
